 Date,Type,Description,Credit,Debit,Balance
25/02/2025,DEPOSIT,Distribution from HAMILTON LANE GLOBAL PRIVATE ASSETS FUND (AUD) (Hedged) (PIM1015AU),414.52,0,38356.76
20/02/2025,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),323.06,0,37942.24
19/02/2025,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),1427.23,0,37619.18
19/02/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),88.55,0,36191.95
14/02/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),704.42,0,36103.4
11/02/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),199.93,0,35398.98
7/02/2025,WITHDRAWAL,To Nomad,0,100000,35199.05
5/02/2025,LOCAL_TT_FEE,T/T FEE,0,15,135199.05
5/02/2025,WITHDRAWAL,LOCAL T/T TO NOMAD BREWING CO - Ramsay FT Settlement,0,664711.36,135214.05
31/01/2025,GROSS_INTEREST,Interest,2371.75,0,799925.41
30/01/2025,DEPOSIT,Distribution from Brandywine Gbl Opportunistic Fixed Inc Fnd - Class A (SSB0014AU),15.99,0,797553.66
29/01/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),43.07,0,797537.67
29/01/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),27.61,0,797494.6
28/01/2025,DEPOSIT,"Sold 20,879.732700 ATLAS Infrastructure Australian Feeder Fund -  AUD Unhed 1.436800 [MGDFUND] 15-JAN-2025 Ref: 32615608",30000,0,797466.99
23/01/2025,DEPOSIT,Distribution from MAGELLAN GLOBAL FUND (MGE0001AU),0.02,0,767466.99
22/01/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),57.3,0,767466.97
22/01/2025,DEPOSIT,Distribution from Payden Global Income Opportunities Fund (GSF0008AU),24.24,0,767409.67
22/01/2025,DEPOSIT,Sold 518.530000 Fidelity Future Leaders Fund 28.927900 [MGDFUND] 15-JAN-2025 Ref: 32588056,15000,0,767385.43
21/01/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),471.96,0,752385.43
21/01/2025,DEPOSIT,"Sold 8,677.040000 Greencape Wholesale High Conviction Fund 1.728700 [MGDFUND] 15-JAN-2025 Ref: 32580642",15000,0,751913.47
21/01/2025,DEPOSIT,"Sold 7,460.840000 QVG Opportunities Fund 2.010500 [MGDFUND] 15-JAN-2025 Ref: 32580630",15000,0,736913.47
21/01/2025,DEPOSIT,"Sold 23,133.870000 Resolution Capital Global Property Securities Fund - Unh 1.296800 [MGDFUND] 15-JAN-2025 Ref: 32580626",30000,0,721913.47
17/01/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),780.81,0,691913.47
16/01/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),836.74,0,691132.66
